root_uid	argmention_id	child_uid	textoffset_startchar	textoffset_endchar	text_string	mediamention_signaltype	mediamention_starttime	mediamention_endtime	keyframe_id	mediamention_coordinates	description	type	subtype	subsubtype	qnode_type_id	arg_status	level
L0C049963	ENL0C049DQW.000046	L0C049DQW	75	82	COVID-19	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	COVID-19	MHI	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000048	L0C049DQW	44	48	diets	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	diets	COM	Unspecified	Unspecified	Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000047	L0C049DQW	35	39	foods	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	foods	COM	Unspecified	Unspecified	Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000046	L0C049DQW	75	82	COVID-19	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	COVID-19	MHI	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000048	L0C049DQW	44	48	diets	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	diets	COM	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000047	L0C049DQW	35	39	foods	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	foods	COM	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000051	L0C049DQW	149	156	COVID-19	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	COVID-19	MHI	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000050	L0C049DQW	126	138	"super foods"	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	"super foods"	COM	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	EVL0C049DQW.000003	L0C049DQW	144	147	cure	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	cure	medical	intervention	cure	Q11028	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000054	L0C049DQW	86	94	Fake news	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	Fake news	INF	Unspecified	Unspecified	Q43229|Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000055	L0C049DQW	1220	1227	COVID-19	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	COVID-19	MHI	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000056	L0C049DQW	1114	1119	garlic	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	garlic	COM	Unspecified	Unspecified	Q215627|Q16334295	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000055	L0C049DQW	1220	1227	COVID-19	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	COVID-19	MHI	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000056	L0C049DQW	1114	1119	garlic	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	garlic	COM	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000056	L0C049DQW	1114	1119	garlic	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	garlic	COM	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000061	L0C049DQW	1343	1353	coronavirus	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	coronavirus	MHI	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
L0C049963	ENL0C049DQW.000063	L0C049DQW	1295	1322	warm water with lemon slices	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	EMPTY_NA	warm water with lemon slices	COM	Unspecified	Unspecified	EMPTY_NA	EMPTY_NA	EMPTY_NA
