	LDC Tag - WD Q-name	LDC code - PB	A0	A1	A2	A3	A4	
LDC	artifactexistence.creation.unspecified	NEW	Creator = per, org, gpe, sid, event	Thing Created = abs, fac, com, veh, wea, pth, inf	Components/Material = com, nat	Place = fac, loc, gpe		
xpo	creation_Q11398090	create.01	A0-pag_Agent_creator = +organism_Q7239 | +machine_Q11019 | +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_Result_thing_created = +abstract_object_Q7184903 | +artificial_physical_object_Q8205328	A2-vsp_Material_materials_used = None	AM-LOC		
Comments								
								
LDC	artifactexistence.artifactfailure.mechanicalfailure	LDC_evt_152	MechanicalArtifact = com, veh, wea	Instrument = com, wea	Place  = fac, loc, gpe			
xpo	breakdown_Q28777323	break_down.12	A1-PPT_Patient_thing_broken_down = +physical_object_Q223557	A0-PAG_Agent_cause_of_breaking = +organism_Q7239 | +machine_Q11019	AM-LOC			
Comments								
								
LDC	artifactexistence.damagedestroydisabledismantle.damage	LDC_evt_002	Damager = per, org, gpe, sid	Artifact = bal, com, fac, loc, mon, veh, wea	Instrument = com, veh, wea	Place = fac, loc, gpe		
xpo	damage_Q481609	damage.01	A0-pag_agent_agent_causer = +organism_Q7239 | +person_Q215627 | +machine_Q11019 | +group_of_humans_Q16334295	A1-ppt_patient_entity damaged = +concrete_object_Q4406616	A2-mnr_instrument_instrument = +concrete_object_Q4406616	AM-LOC		
Comments								
								
LDC	artifactexistence.damagedestroydisabledismantle.destroy	LDC_evt_003	Destroyer = per, org, gpe, sid	Artifact = bal, com, fac, loc, mon, veh, wea	Instrument = com, veh, wea	Place = fac, loc, gpe		
xpo	destruction_Q17781833	annihilate.01, destroy.01, destruct.01	A0-pag_agent_destroyer = +organism_Q7239 | +person_Q215627 | +machine_Q11019 | +group_of_humans_Q16334295 | +health_problem_Q2057971	A1-ppt_patient_thing destroyed = +concrete_object_Q4406616 | +organism_Q7239 | +person_Q215627	A2-mnr_instrument_instrument of destruction = +concrete_object_Q4406616	AM-LOC		
Comments								
								
LDC	artifactexistence.damagedestroydisabledismantle.disabledefuse	LDC_KAIROS_evt_003	Disabler = per, org, gpe, sid	Artifact = abs, com, fac, veh, wea	Instrument = abs, com, veh, wea	Place = fac, loc, gpe		
xpo	bomb_disposal_Q649416	disable.01, defuse.01	A0-pag_agent_defuser = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_patient_bomb = +bomb_Q127197 | +concrete_object_Q4406616 | +abstract_object_Q7184903	AM-MNR	AM-LOC		
Comments	Nothing in WD, maybe bomb_disposal_Q649416							
								
LDC	artifactexistence.damagedestroydisabledismantle.dismantle	LDC_KAIROS_evt_004	Dismantler = per, org, gpe, sid	Artifact = com, fac, veh, wea	Instrument = com, veh	Components = com	Place = fac, loc, gpe	
xpo	disassembly_Q52161698	disassemble.01, dismantle.01	A0-pag_agent_agent = +organism_Q7239 | +person_Q215627 | +machine_Q11019 | +group_of_humans_Q16334295	A1-ppt_patient_thing_disassembled = +concrete_object_Q4406616 | +physical_object_Q223557	AM-MNR		AM-LOC	
Comments								
								
LDC	artifactexistence.damagedestroydisabledismantle.unspecified	LDC_KAIROS_evt_005	DamagerDestroyer = per, org, gpe, sid	Artifact = bal, com, fac, loc, mon, nat, pth, veh, wea	Instrument = com, veh, wea	Place = fac, loc, gpe		
